case,event,startTime,completeTime,REG_DATE,AMOUNT_REQ,resource,position,sT,cT,eventpos,case_index
200236,A_SUBMITTED,2012/01/12 16:18:28.384,2012/01/12 16:18:28.384,2012/01/12 16:18:28.376,5000,112,1,1326377908.384,1326377908.384,A_SUBMITTED-1,108398
200236,A_PARTLYSUBMITTED,2012/01/12 16:18:29.248,2012/01/12 16:18:29.248,2012/01/12 16:18:28.376,5000,112,2,1326377909.248,1326377909.248,A_PARTLYSUBMITTED-2,108399
200236,A_DECLINED,2012/01/12 16:19:15.494,2012/01/12 16:19:15.494,2012/01/12 16:18:28.376,5000,112,3,1326377955.494,1326377955.494,A_DECLINED-3,108400
182044,A_SUBMITTED,2011/11/03 19:25:46.817,2011/11/03 19:25:46.817,2011/11/03 19:25:46.817,3500,112,1,1320341146.817,1320341146.817,A_SUBMITTED-1,35240
182044,A_PARTLYSUBMITTED,2011/11/03 19:25:47.031,2011/11/03 19:25:47.031,2011/11/03 19:25:46.817,3500,112,2,1320341147.031,1320341147.031,A_PARTLYSUBMITTED-2,35241
182044,W_Afhandelen leads,2011/11/03 19:53:40.079,2011/11/03 19:56:45.559,2011/11/03 19:25:46.817,3500,112,3,1320342820.079,1320343005.559,W_Afhandelen leads-3,35242
182044,A_PREACCEPTED,2011/11/03 19:56:44.460,2011/11/03 19:56:44.460,2011/11/03 19:25:46.817,3500,11120,4,1320343004.46,1320343004.46,A_PREACCEPTED-4,35243
182044,W_Completeren aanvraag,2011/11/03 20:47:51.192,2011/11/03 20:58:11.099,2011/11/03 19:25:46.817,3500,11120,5,1320346071.192,1320346691.099,W_Completeren aanvraag-5,35244
182044,A_ACCEPTED,2011/11/03 20:56:18.603,2011/11/03 20:56:18.603,2011/11/03 19:25:46.817,3500,11200,6,1320346578.603,1320346578.603,A_ACCEPTED-6,35245
182044,O_SELECTED,2011/11/03 20:58:08.489,2011/11/03 20:58:08.489,2011/11/03 19:25:46.817,3500,11200,7,1320346688.489,1320346688.489,O_SELECTED-7,35246
182044,A_FINALIZED,2011/11/03 20:58:08.489,2011/11/03 20:58:08.489,2011/11/03 19:25:46.817,3500,11200,8,1320346688.489,1320346688.489,A_FINALIZED-8,35247
182044,O_CREATED,2011/11/03 20:58:09.828,2011/11/03 20:58:09.828,2011/11/03 19:25:46.817,3500,11200,9,1320346689.828,1320346689.828,O_CREATED-9,35248
182044,O_SENT,2011/11/03 20:58:09.906,2011/11/03 20:58:09.906,2011/11/03 19:25:46.817,3500,11200,10,1320346689.906,1320346689.906,O_SENT-10,35249
182044,W_Nabellen offertes,2011/11/11 19:35:28.329,2011/11/11 19:37:35.556,2011/11/03 19:25:46.817,3500,11203,11,1321032928.329,1321033055.556,W_Nabellen offertes-11,35250
182044,W_Nabellen offertes,2011/11/14 21:06:54.509,2011/11/14 21:09:23.429,2011/11/03 19:25:46.817,3500,11180,12,1321297614.509,1321297763.429,W_Nabellen offertes-12,35251
182044,W_Nabellen offertes,2011/11/21 15:53:53.714,2011/11/21 15:54:28.299,2011/11/03 19:25:46.817,3500,11180,13,1321883633.714,1321883668.299,W_Nabellen offertes-13,35252
182044,W_Nabellen offertes,2011/11/21 17:28:31.260,2011/11/21 17:29:51.837,2011/11/03 19:25:46.817,3500,11201,14,1321889311.26,1321889391.837,W_Nabellen offertes-14,35253
182044,W_Nabellen offertes,2011/11/22 19:22:04.715,2011/11/22 19:23:58.709,2011/11/03 19:25:46.817,3500,11119,15,1321982524.715,1321982638.709,W_Nabellen offertes-15,35254
182044,W_Nabellen offertes,2011/11/24 10:47:10.851,2011/11/24 10:47:48.541,2011/11/03 19:25:46.817,3500,11049,16,1322124430.851,1322124468.541,W_Nabellen offertes-16,35255
